Hour_of_Day,Avg_Close_Price_Hourly,Total_Volume_Hourly
0,134.14,44062104.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,110.27,50480262.0
9,125.94,109699713.0
10,125.76,89053469.0
11,125.71,124382962.0
12,125.81,317130370.0
13,125.85,2237091581.0
14,125.77,5191499224.0
15,125.57,4722533623.0
16,125.52,3438405475.0
17,125.59,2957402690.0
18,125.52,2758832006.0
19,125.47,3468739605.0
20,125.43,2735558606.0
21,125.59,519280434.0
22,125.41,165509356.0
23,125.32,92434808.0
